,0,1,2
2076,40,1874,530.82336
2078,40,1946,437.65808
2080,40,2099,948.3834
2082,40,2780,294.73526
2084,40,3086,470.2146
2086,40,4597,6.4746094
2088,40,5800,2269.9634
2090,40,5822,3888.3389
2092,40,5836,905.75415
2094,40,5840,2537.472
2096,40,5846,0.13397408
2098,40,5857,1763.408
2100,40,5861,860.20435
2102,40,5894,1368.3787
2104,40,5911,3146.2217
2106,40,5918,1931.3452
2108,40,5924,1437.136
2110,41,67,8.961609
2112,41,420,259.01807
2114,41,687,1423.8242
2116,41,1056,370.87598
2118,41,2039,260.86475
2120,41,2217,284.84973
2122,41,2293,284.29895
2124,41,2380,848.3937
2126,41,2665,125.64343
2128,41,2853,434.55237
2130,41,3021,447.18933
2132,41,3061,247.17725
2134,41,3335,401.56757
2136,41,3631,7.4836426
2138,41,4361,153.98889
2140,41,4380,204.38196
2142,41,4698,175.39256
2144,41,7307,1957.3822
2146,41,7312,2220.9355
2148,41,7313,2176.7725
2150,41,7338,1410.7018
2152,41,7368,2222.1096
2154,41,7396,3268.5708
2156,41,7398,2372.29
2158,41,7410,3662.4917
2160,41,7443,1166.1217
2162,41,7473,696.54065
2164,42,257,313.1095
2166,42,393,13.0383835
2168,42,412,264.135
2170,42,780,1194.0859
2172,42,1430,801.41223
2174,42,1577,138.17065
2176,42,1874,403.27478
2178,42,2578,30.826637
2180,42,2640,103.46193
2182,42,3485,27.232239
2184,42,4551,127.43562
2186,42,4857,136.94904
2188,42,5823,1293.1667
2190,42,5845,1285.8296
2192,42,5877,2632.6418
2194,42,5894,3914.627
